Name,Genre 1,Genre 2,No. of Seasons,No. of Episodes,Legth per Episode (min),Watched No.,Telecasting Channel, Year of Release,Year when watched,Country of Origin
"You, Me and the Apocalypse",Comedy,,1,10,45,10,Sky1,2015,,US/UK
Young Justice,Animation,Action,2,46,25,46,Cartoon Network,2010,,USA
Young Sheldon,Comedy,,1,11,25,11,CBS,2017,,USA
Yu-Gi-Oh! Duel Monsters,Anime,,5,224,25,224,TV Tokyo,2000,,Japan
Yu-Gi-Oh! Duel Monsters GX,Anime,,4,180,25,6,The CW,2004,,Japan
iZombie,Drama,,3,45,45,45,The CW,2015,,USA
24,Action ,Drama,9,204,45,136,FOX,2001,,USA
Anger Management,Comedy,,2,100,25,50,FX,2012,,USA
Avatar: The Last Airbender,Animation,,3,61,25,8,NickToons,2005,,USA
Constantine,Fantasy,Action,1,13,45,10,NBC,2014,,USA
Dragon Ball Super,Anime,,5,126,25,4,Fuji TV,2015,,Japan
Elementary,Crime,Mystery,5,120,45,60,CBS,2012,,USA
High School DxD,Anime,,3,36,25,24,AT-X,2012,,Japan
Homeland,Crime,Drama,6,72,50,30,Showtime,2011,,USA
Steins;Gate,Anime,,1,26,25,25,TV Tokyo,2011,,Japan
The Seven Deadly Sins,Anime,,1,30,25,24,MBS,2014,,Japan
